BJD,RV,e_RV,FWHM,BIS,System,TIC,GaiaDR2
2457837.68514299,22985.0083911507,1.7040543158693,0.0024098967245227,0.0024098967245227,K2-229,98720809,3583630929786305280
2457837.61342934,22982.8343499322,2.4539318735944,0.0034703837367769,0.0034703837367769,K2-229,98720809,3583630929786305280
2457835.68333821,22976.7488017512,1.8604952621141,0.0026311376324127,0.0026311376324127,K2-229,98720809,3583630929786305280
2457835.61972628,22976.480526504398,1.8297243422571001,0.0025876209802242,0.0025876209802242,K2-229,98720809,3583630929786305280
2457832.69244713,22965.805073621,2.3384196079976003,0.0033070247241494,0.0033070247241494,K2-229,98720809,3583630929786305280
2457832.62603389,22963.6085993692,2.1919665356025,0.003099908802917,0.003099908802917,K2-229,98720809,3583630929786305280
2457830.70217651,22971.931588291303,1.4785466340783,0.0020909807025146,0.0020909807025146,K2-229,98720809,3583630929786305280
2457830.61237135,22974.0111106669,1.5288927479154,0.0021621808595158,0.0021621808595158,K2-229,98720809,3583630929786305280
2457826.69513311,22982.6176554008,1.3364808693171,0.0018900693712404,0.0018900693712404,K2-229,98720809,3583630929786305280
2457826.61499197,22982.3378715211,1.6264446488005,0.0023001400807829,0.0023001400807829,K2-229,98720809,3583630929786305280
2457825.69561353,22992.4997069576,2.0695644060422,0.0029268060512295,0.0029268060512295,K2-229,98720809,3583630929786305280
2457825.61284487,22991.2163702593,1.8605024373431,0.0026311477797188,0.0026311477797188,K2-229,98720809,3583630929786305280
2457824.85688436,22989.2457315311,1.9705602743289,0.0027867930654295,0.0027867930654295,K2-229,98720809,3583630929786305280
2457824.73825798,22995.2780168759,1.6583981364309999,0.0023453291363551,0.0023453291363551,K2-229,98720809,3583630929786305280
2457823.83798613,22999.8952423002,1.329844185799,0.0018806836833999,0.0018806836833999,K2-229,98720809,3583630929786305280
2457823.71191717,22999.9604029517,1.4939908392516,0.0021128221069308,0.0021128221069308,K2-229,98720809,3583630929786305280
2457822.86984025,22996.7885197621,1.4297850120428,0.0020220213553087,0.0020220213553087,K2-229,98720809,3583630929786305280
2457822.75416498,22990.5238326902,1.5499620218385,0.0021919773124472,0.0021919773124472,K2-229,98720809,3583630929786305280
2457820.88832234,22969.866389364997,1.4458893105765,0.0020447962727076,0.0020447962727076,K2-229,98720809,3583630929786305280
2457820.73860606,22970.054854581198,1.4315734702047,0.0020245506170971,0.0020245506170971,K2-229,98720809,3583630929786305280
2457818.87779229,22971.051373844,1.4712274052395,0.0020806297498247,0.0020806297498247,K2-229,98720809,3583630929786305280
2457818.6765572,22975.9362443049,1.5282982402369,0.002161340098694,0.002161340098694,K2-229,98720809,3583630929786305280
2457817.86391915,22978.3122889779,1.3583081390998,0.0019209377921967,0.0019209377921967,K2-229,98720809,3583630929786305280
2457817.79479585,22981.2646961038,1.207870267038,0.0017081865132324,0.0017081865132324,K2-229,98720809,3583630929786305280
2457817.72540632,22981.1672238217,1.3835284084119,0.0019566046391046,0.0019566046391046,K2-229,98720809,3583630929786305280
2457815.87849631,22968.3703504355,1.2128927717245,0.0017152894074771,0.0017152894074771,K2-229,98720809,3583630929786305280
2457815.79866629,22975.3280825951,1.2684682721879001,0.0017938850339681,0.0017938850339681,K2-229,98720809,3583630929786305280
2457815.72465828,22972.0739124819,1.2822032332195,0.0018133092021377,0.0018133092021377,K2-229,98720809,3583630929786305280
2457814.87004688,22968.1987491437,1.4585310507387,0.002062674393097,0.002062674393097,K2-229,98720809,3583630929786305280
2457814.80161773,22968.5491397478,1.4127853896889,0.0019979802588206,0.0019979802588206,K2-229,98720809,3583630929786305280
2457814.7423904,22967.5424932158,1.35463053071,0.0019157368685348,0.0019157368685348,K2-229,98720809,3583630929786305280
2457810.82338561,22971.055950372902,1.4954150692198,0.0021148362722677,0.0021148362722677,K2-229,98720809,3583630929786305280
2457810.76684324,22973.2758493657,1.5085250376455,0.0021333765674177,0.0021333765674177,K2-229,98720809,3583630929786305280
2457810.69879563,22974.7517566523,1.8286005078419998,0.0025860316383525,0.0025860316383525,K2-229,98720809,3583630929786305280
2457803.87435802,22995.1687368673,1.4544835468987,0.0020569503582727,0.0020569503582727,K2-229,98720809,3583630929786305280
2457803.78655154,22999.2864978732,1.3408086809942,0.0018961898212096,0.0018961898212096,K2-229,98720809,3583630929786305280
2457803.70031922,23001.9888272925,1.5169747438298,0.0021453262565016,0.0021453262565016,K2-229,98720809,3583630929786305280
2457802.87939866,22992.061104309698,1.9024117798567999,0.0026904165402918,0.0026904165402918,K2-229,98720809,3583630929786305280
2457802.81121139,22986.700196502,1.5125767837364001,0.0021391066016907,0.0021391066016907,K2-229,98720809,3583630929786305280
2457802.69979215,22988.0743527067,1.5809827318843,0.0022358472213084,0.0022358472213084,K2-229,98720809,3583630929786305280
2457801.87032825,22988.3119912026,1.4485866889509,0.0020486109417875,0.0020486109417875,K2-229,98720809,3583630929786305280
2457801.76002005,22982.8333889711,1.4751593871169,0.0020861904119227,0.0020861904119227,K2-229,98720809,3583630929786305280
